frame,cls,range_cm
0,cup,40.0
1,cup,40.0
2,cup,40.0
3,cup,40.0
4,cup,40.0
5,cup,40.0
6,cup,40.0
7,cup,40.0
8,cup,40.0
9,cup,40.0
10,cup,40.0
11,cup,40.0
12,cup,40.0
13,cup,40.0
14,cup,40.0
15,cup,40.0
16,cup,40.0
17,cup,40.0
18,cup,40.0
19,cup,40.0
20,cup,40.0
21,cup,40.0
22,cup,40.0
23,cup,40.0
24,cup,40.0
25,cup,40.0
26,cup,40.0
27,cup,40.0
28,cup,40.0
29,cup,40.0
30,cup,40.0
31,cup,40.0
32,cup,40.0
33,cup,40.0
34,cup,40.0
35,cup,40.0
36,cup,40.0
37,cup,40.0
38,cup,40.0
39,cup,40.0
40,cup,40.0
41,cup,40.0
42,cup,40.0
43,cup,40.0
44,cup,40.0
45,cup,40.0
46,cup,40.0
47,cup,40.0
48,cup,40.0
49,cup,40.0
50,cup,40.0
51,cup,40.0
52,cup,40.0
53,cup,40.0
54,cup,40.0
55,cup,40.0
56,cup,40.0
57,cup,40.0
58,cup,40.0
59,cup,40.0
60,cup,40.0
61,cup,40.0
62,cup,40.0
63,cup,40.0
64,cup,40.0
65,cup,40.0
66,cup,40.0
67,cup,40.0
68,cup,40.0
69,cup,40.0
70,cup,40.0
71,cup,40.0
72,cup,40.0
73,cup,40.0
74,cup,40.0
75,cup,40.0
76,cup,40.0
77,cup,40.0
78,cup,40.0
79,cup,40.0
80,cup,40.0
81,cup,40.0
82,cup,40.0
83,cup,40.0
84,cup,40.0
85,cup,40.0
86,cup,40.0
87,cup,40.0
88,cup,40.0
89,cup,40.0
90,cup,40.0
91,cup,40.0
92,cup,40.0
93,cup,40.0
94,cup,40.0
95,cup,40.0
96,cup,40.0
97,cup,40.0
98,cup,40.0
99,cup,40.0
100,cup,40.0
101,cup,40.0
102,cup,40.0
103,cup,40.0
104,cup,40.0
105,cup,40.0
106,cup,40.0
107,cup,40.0
108,cup,40.0
109,cup,40.0
110,cup,40.0
111,cup,40.0
112,cup,40.0
113,cup,40.0
114,cup,40.0
115,cup,40.0
116,cup,40.0
117,cup,40.0
118,cup,40.0
119,cup,40.0
120,cup,40.0
121,cup,40.0
122,cup,40.0
123,cup,40.0
124,cup,40.0
125,cup,40.0
126,cup,40.0
127,cup,40.0
128,cup,40.0
129,cup,40.0
130,cup,40.0
131,cup,40.0
132,cup,40.0
133,cup,40.0
134,cup,40.0
135,cup,40.0
136,cup,40.0
137,cup,40.0
138,cup,40.0
139,cup,40.0
140,cup,40.0
141,cup,40.0
142,cup,40.0
143,cup,40.0
144,cup,40.0
145,cup,40.0
146,cup,40.0
147,cup,40.0
148,cup,40.0
149,cup,40.0
150,cup,40.0
151,cup,40.0
152,cup,40.0
153,cup,40.0
154,cup,40.0
155,cup,40.0
156,cup,40.0
157,cup,40.0
158,cup,40.0
159,cup,40.0
160,cup,40.0
161,cup,40.0
162,cup,40.0
163,cup,40.0
164,cup,40.0
165,cup,40.0
166,cup,40.0
167,cup,40.0
168,cup,40.0
169,cup,40.0
170,cup,40.0
171,cup,40.0
172,cup,40.0
173,cup,40.0
174,cup,40.0
175,cup,40.0
176,cup,40.0
177,cup,40.0
178,cup,40.0
179,cup,40.0
180,cup,40.0
181,cup,40.0
182,cup,40.0
183,cup,40.0
184,cup,40.0
185,cup,40.0
186,cup,40.0
187,cup,40.0
188,cup,40.0
189,cup,40.0
190,cup,40.0
191,cup,40.0
192,cup,40.0
193,cup,40.0
194,cup,40.0
195,cup,40.0
196,cup,40.0
197,cup,40.0
198,cup,40.0
199,cup,40.0
200,cup,40.0
201,cup,40.0
202,cup,40.0
203,cup,40.0
204,cup,40.0
205,cup,40.0
206,cup,40.0
207,cup,40.0
208,cup,40.0
209,cup,40.0
210,cup,40.0
211,cup,40.0
212,cup,40.0
213,cup,40.0
214,cup,40.0
215,cup,40.0
216,cup,40.0
217,cup,40.0
218,cup,40.0
219,cup,40.0
220,cup,40.0
221,cup,40.0
222,cup,40.0
223,cup,40.0
224,cup,40.0
225,cup,40.0
226,cup,40.0
227,cup,40.0
228,cup,40.0
229,cup,40.0
230,cup,40.0
231,cup,40.0
232,cup,40.0
233,cup,40.0
234,cup,40.0
235,cup,40.0
236,cup,40.0
237,cup,40.0
238,cup,40.0
239,cup,40.0
240,cup,40.0
241,cup,40.0
242,cup,40.0
243,cup,40.0
244,cup,40.0
245,cup,40.0
246,cup,40.0
247,cup,40.0
248,cup,40.0
249,cup,40.0
250,cup,40.0
251,cup,40.0
252,cup,40.0
253,cup,40.0
254,cup,40.0
255,cup,40.0
256,cup,40.0
257,cup,40.0
258,cup,40.0
259,cup,40.0
260,cup,40.0
261,cup,40.0
262,cup,40.0
263,cup,40.0
264,cup,40.0
265,cup,40.0
266,cup,40.0
267,cup,40.0
268,cup,40.0
269,cup,40.0
270,cup,40.0
271,cup,40.0
272,cup,40.0
273,cup,40.0
274,cup,40.0
275,cup,40.0
276,cup,40.0
277,cup,40.0
278,cup,40.0
279,cup,40.0
280,cup,40.0
