frame,cls,range_cm
0,cup,40
0,person,40
1,cup,40
1,person,40
2,cup,40
2,person,40
3,cup,40
3,person,40
4,cup,40
4,person,40
5,cup,40
5,person,40
6,cup,40
6,person,40
7,cup,40
7,person,40
8,cup,40
8,person,40
9,cup,40
9,person,40
10,cup,40
10,person,40
11,cup,40
11,person,40
12,cup,40
12,person,40
13,cup,40
13,person,40
14,cup,40
14,person,40
15,cup,40
15,person,40
16,cup,40
16,person,40
17,cup,40
17,person,40
18,cup,40
18,person,40
19,cup,40
19,person,40
20,cup,40
20,person,40
21,cup,40
21,person,40
22,cup,40
22,person,40
23,cup,40
23,person,40
24,cup,40
24,person,40
25,cup,40
25,person,40
26,cup,40
26,person,40
27,cup,40
27,person,40
28,cup,40
28,person,40
29,cup,40
29,person,40
30,cup,40
30,person,40
31,cup,40
31,person,40
32,cup,40
32,person,40
33,cup,40
33,person,40
34,cup,40
34,person,40
35,cup,40
35,person,40
36,cup,40
36,person,40
37,cup,40
37,person,40
38,cup,40
38,person,40
39,cup,40
39,person,40
40,cup,40
40,person,40
41,cup,40
41,person,40
42,cup,40
42,person,40
43,cup,40
43,person,40
44,cup,40
44,person,40
45,cup,40
45,person,40
46,cup,40
46,person,40
47,cup,40
47,person,40
48,cup,40
48,person,40
49,cup,40
49,person,40
50,cup,40
50,person,40
51,cup,40
51,person,40
52,cup,40
52,person,40
53,cup,40
53,person,40
54,cup,40
54,person,40
55,cup,40
55,person,40
56,cup,40
56,person,40
57,cup,40
57,person,40
58,cup,40
58,person,40
59,cup,40
59,person,40
60,cup,40
60,person,40
61,cup,40
61,person,40
62,cup,40
62,person,40
63,cup,40
63,person,40
64,cup,40
64,person,40
65,cup,40
65,person,40
66,cup,40
66,person,40
67,cup,40
67,person,40
68,cup,40
68,person,40
69,cup,40
69,person,40
70,cup,40
70,person,40
71,cup,40
71,person,40
72,cup,40
72,person,40
73,cup,40
73,person,40
74,cup,40
74,person,40
75,cup,40
75,person,40
76,cup,40
76,person,40
77,cup,40
77,person,40
78,cup,40
78,person,40
79,cup,40
79,person,40
80,cup,40
80,person,40
81,cup,40
81,person,40
82,cup,40
82,person,40
83,cup,40
83,person,40
84,cup,40
84,person,40
85,cup,40
85,person,40
86,cup,40
86,person,40
87,cup,40
87,person,40
88,cup,40
88,person,40
89,cup,40
89,person,40
90,cup,40
90,person,40
91,cup,40
