frame,cls,range_cm
0,cup,40
0,bowl,60
0,laptop,90
0,cup,40
1,cup,40
1,bowl,60
1,laptop,90
2,cup,40
2,bowl,60
2,laptop,90
3,cup,40
3,bowl,60
3,laptop,90
3,laptop,90
4,cup,40
4,bowl,60
4,laptop,90
4,laptop,90
5,cup,40
5,bowl,60
5,laptop,90
5,laptop,90
6,cup,40
6,bowl,60
6,laptop,90
6,laptop,90
7,cup,40
7,bowl,60
7,laptop,90
7,laptop,90
8,cup,40
8,bowl,60
8,laptop,90
8,laptop,90
9,cup,40
9,bowl,60
9,laptop,90
9,laptop,90
10,cup,40
10,bowl,60
10,laptop,90
10,laptop,90
11,cup,40
11,bowl,60
11,laptop,90
11,laptop,90
12,cup,40
12,bowl,60
12,laptop,90
12,laptop,90
13,cup,40
13,bowl,60
13,laptop,90
13,laptop,90
14,cup,40
14,bowl,60
14,laptop,90
14,laptop,90
15,cup,40
15,bowl,60
15,laptop,90
15,laptop,90
16,cup,40
16,bowl,60
16,laptop,90
16,laptop,90
17,cup,40
17,bowl,60
17,laptop,90
18,cup,40
18,bowl,60
18,laptop,90
18,laptop,90
19,cup,40
19,bowl,60
19,laptop,90
19,laptop,90
20,cup,40
20,bowl,60
20,laptop,90
20,laptop,90
21,cup,40
21,bowl,60
21,laptop,90
21,laptop,90
22,cup,40
22,bowl,60
22,laptop,90
22,laptop,90
23,cup,40
23,bowl,60
23,laptop,90
23,laptop,90
24,cup,40
24,bowl,60
24,laptop,90
24,laptop,90
25,cup,40
25,bowl,60
25,laptop,90
25,laptop,90
26,cup,40
26,bowl,60
26,laptop,90
26,laptop,90
27,cup,40
27,bowl,60
27,laptop,90
27,laptop,90
28,cup,40
28,bowl,60
28,laptop,90
28,laptop,90
29,cup,40
29,bowl,60
29,laptop,90
29,laptop,90
30,cup,40
30,bowl,60
30,laptop,90
30,laptop,90
31,cup,40
31,bowl,60
31,laptop,90
31,laptop,90
32,cup,40
32,bowl,60
32,laptop,90
32,laptop,90
33,cup,40
33,bowl,60
33,laptop,90
33,laptop,90
34,cup,40
34,bowl,60
34,laptop,90
34,laptop,90
35,cup,40
35,bowl,60
35,laptop,90
35,laptop,90
36,cup,40
36,bowl,60
36,laptop,90
36,laptop,90
37,cup,40
37,bowl,60
37,laptop,90
37,laptop,90
38,cup,40
38,bowl,60
38,laptop,90
38,laptop,90
39,cup,40
39,bowl,60
39,laptop,90
39,laptop,90
40,cup,40
40,bowl,60
40,laptop,90
40,laptop,90
41,cup,40
41,bowl,60
41,laptop,90
41,laptop,90
42,cup,40
42,bowl,60
42,laptop,90
43,cup,40
43,bowl,60
43,laptop,90
43,laptop,90
44,cup,40
44,bowl,60
44,laptop,90
44,laptop,90
45,cup,40
45,bowl,60
45,laptop,90
45,laptop,90
46,cup,40
46,bowl,60
46,laptop,90
47,cup,40
47,bowl,60
47,laptop,90
47,laptop,90
48,cup,40
48,bowl,60
48,laptop,90
48,laptop,90
49,cup,40
49,bowl,60
49,laptop,90
49,laptop,90
50,cup,40
50,bowl,60
50,laptop,90
50,laptop,90
51,cup,40
51,bowl,60
51,laptop,90
51,laptop,90
52,cup,40
52,bowl,60
52,laptop,90
52,laptop,90
53,cup,40
53,bowl,60
53,laptop,90
53,laptop,90
54,cup,40
54,bowl,60
54,laptop,90
55,cup,40
55,bowl,60
55,laptop,90
55,laptop,90
56,cup,40
56,bowl,60
56,laptop,90
56,laptop,90
57,cup,40
57,bowl,60
57,laptop,90
57,laptop,90
58,cup,40
58,bowl,60
58,laptop,90
59,cup,40
59,bowl,60
59,laptop,90
60,cup,40
60,bowl,60
60,laptop,90
60,laptop,90
61,cup,40
61,bowl,60
61,laptop,90
61,laptop,90
62,cup,40
62,bowl,60
62,laptop,90
62,laptop,90
63,cup,40
63,bowl,60
63,laptop,90
64,cup,40
64,bowl,60
64,laptop,90
64,laptop,90
65,cup,40
65,bowl,60
65,laptop,90
65,laptop,90
66,cup,40
66,bowl,60
66,laptop,90
66,laptop,90
67,cup,40
67,bowl,60
67,laptop,90
67,laptop,90
68,cup,40
68,bowl,60
68,laptop,90
68,laptop,90
69,cup,40
69,bowl,60
69,laptop,90
70,cup,40
70,bowl,60
70,laptop,90
70,laptop,90
71,cup,40
71,bowl,60
71,laptop,90
72,cup,40
72,bowl,60
72,laptop,90
73,cup,40
73,bowl,60
73,laptop,90
73,laptop,90
74,cup,40
74,bowl,60
74,laptop,90
74,laptop,90
75,cup,40
75,bowl,60
75,laptop,90
75,laptop,90
76,cup,40
76,bowl,60
76,laptop,90
76,laptop,90
77,cup,40
77,bowl,60
77,laptop,90
77,laptop,90
78,cup,40
78,bowl,60
78,laptop,90
78,laptop,90
79,cup,40
79,bowl,60
79,laptop,90
79,laptop,90
80,cup,40
80,bowl,60
80,laptop,90
80,laptop,90
81,cup,40
81,bowl,60
81,laptop,90
81,laptop,90
82,cup,40
82,bowl,60
82,laptop,90
82,laptop,90
83,cup,40
83,bowl,60
83,laptop,90
83,laptop,90
84,cup,40
84,bowl,60
84,laptop,90
84,laptop,90
85,cup,40
85,bowl,60
85,laptop,90
85,laptop,90
86,cup,40
86,bowl,60
86,laptop,90
86,laptop,90
87,cup,40
87,bowl,60
87,laptop,90
87,laptop,90
88,cup,40
88,bowl,60
88,laptop,90
88,laptop,90
89,cup,40
89,bowl,60
89,laptop,90
89,laptop,90
90,cup,40
90,bowl,60
90,laptop,90
90,laptop,90
91,cup,40
91,bowl,60
91,laptop,90
91,laptop,90
92,cup,40
92,bowl,60
92,laptop,90
92,laptop,90
93,cup,40
93,bowl,60
93,laptop,90
93,laptop,90
94,cup,40
94,bowl,60
94,laptop,90
94,laptop,90
95,cup,40
95,bowl,60
95,laptop,90
95,laptop,90
96,cup,40
96,bowl,60
96,laptop,90
96,laptop,90
97,cup,40
97,bowl,60
97,laptop,90
97,laptop,90
98,cup,40
98,bowl,60
98,laptop,90
98,laptop,90
99,cup,40
99,bowl,60
99,laptop,90
99,laptop,90
100,cup,40
100,bowl,60
100,laptop,90
100,laptop,90
101,cup,40
101,bowl,60
101,laptop,90
101,laptop,90
102,cup,40
102,bowl,60
102,laptop,90
102,laptop,90
103,cup,40
103,bowl,60
103,laptop,90
103,laptop,90
104,cup,40
104,bowl,60
104,laptop,90
104,laptop,90
105,cup,40
105,bowl,60
105,laptop,90
105,laptop,90
106,cup,40
106,bowl,60
106,laptop,90
107,cup,40
107,bowl,60
107,laptop,90
107,laptop,90
108,cup,40
108,bowl,60
108,laptop,90
109,cup,40
109,bowl,60
109,laptop,90
110,cup,40
110,bowl,60
110,laptop,90
111,cup,40
111,bowl,60
111,laptop,90
111,laptop,90
112,cup,40
112,bowl,60
112,laptop,90
112,laptop,90
113,cup,40
113,bowl,60
113,laptop,90
113,laptop,90
114,cup,40
114,bowl,60
114,laptop,90
114,laptop,90
115,cup,40
115,bowl,60
115,laptop,90
116,cup,40
116,bowl,60
116,laptop,90
116,laptop,90
117,cup,40
117,bowl,60
117,laptop,90
118,cup,40
118,bowl,60
118,laptop,90
118,laptop,90
119,cup,40
119,bowl,60
119,laptop,90
119,laptop,90
120,cup,40
120,bowl,60
120,laptop,90
120,laptop,90
121,cup,40
121,bowl,60
121,laptop,90
121,laptop,90
122,cup,40
122,bowl,60
122,laptop,90
122,laptop,90
123,cup,40
123,bowl,60
123,laptop,90
123,laptop,90
124,cup,40
124,bowl,60
124,laptop,90
124,laptop,90
125,cup,40
125,bowl,60
125,laptop,90
125,laptop,90
126,cup,40
126,bowl,60
126,laptop,90
126,laptop,90
127,cup,40
127,bowl,60
127,laptop,90
127,laptop,90
128,cup,40
128,bowl,60
